"area_id","parea_id","amo","sum","total","pages","female","male","ctime","update_time","max_hour","avg_hour"
"41","3","16299","16808","5","1","0","0","11/4/2019 18:00:00",,"0","0"
"153","3","36910","195126","107","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:26","0","0"
"174","3","6","6","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"92","2","25958","31180","45","1","0","0","11/4/2019 18:00:00",,"0","0"
"91","2","18274","72252","88","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:27","0","0"
"84","2","35686","142714","137","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:28","0","0"
"80","2","211888","654740","156","4","0","0","11/4/2019 18:00:00","11/4/2019 18:16:28","0","0"
"89","2","12168","31875","70","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:27","0","0"
"78","2","6309","49517","125","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:30","0","0"
"239","2","184815","317399","86","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:28","0","0"
"87","2","19902","136904","107","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:30","0","0"
"240","2","146111","296048","141","3","0","0","11/4/2019 18:00:00","11/4/2019 18:16:30","0","0"
"166","2","45","105","8","1","0","0","11/4/2019 19:00:00",,"0","0"
"112","2","62","146","6","1","0","0","11/4/2019 19:00:00",,"0","0"
"83","2","3795","6925","43","1","0","0","11/4/2019 19:00:00",,"0","0"
"93","2","4277","8516","25","1","0","0","11/4/2019 19:00:00",,"0","0"
"196","2","8948","28361","40","1","0","0","11/4/2019 19:00:00",,"0","0"
"115","2","3615","7079","33","1","0","0","11/4/2019 19:00:00",,"0","0"
"88","2","1078","1924","26","1","0","0","11/4/2019 19:00:00",,"0","0"
"181","2","82","574","29","1","0","0","11/4/2019 19:00:00",,"0","0"
"102","2","4447","11420","74","2","0","0","11/4/2019 19:00:00","11/4/2019 19:16:11","0","0"
"95","4","1781","2525","13","1","0","0","11/4/2019 19:00:00",,"0","0"
"82","2","54517","68052","63","2","0","0","11/4/2019 19:00:00","11/4/2019 19:16:11","0","0"
"164","2","2550","3378","13","1","0","0","11/4/2019 19:00:00",,"0","0"
"51","4","7328","40853","82","2","0","0","11/4/2019 19:00:00","11/4/2019 19:16:17","0","0"
"27","1","12180","86408","452","10","0","0","11/4/2019 19:00:00","11/4/2019 19:16:15","0","0"
"89","2","17527","60924","93","2","0","0","11/4/2019 19:00:00","11/4/2019 19:16:12","0","0"
"192","5","25779","60142","65","2","0","0","11/4/2019 19:00:00","11/4/2019 19:16:13","0","0"
"190","5","17200","91246","70","2","0","0","11/4/2019 19:00:00","11/4/2019 19:16:13","0","0"
